Source,Title,DOI,Citations,Unique ID,Link
PubMed,The Evolution of Automated Medical Billing With Artificial Intelligence: A Review With a Global and Saudi Perspective.,10.7759/cureus.96464,N/A,41384167,https://pubmed.ncbi.nlm.nih.gov/41384167/
PubMed,Artificial intelligence for epilepsy decision support.,10.1111/epi.18709,N/A,41269050,https://pubmed.ncbi.nlm.nih.gov/41269050/
PubMed,A digital twin model for grain enterprise financial shared service centers based on distributed deep learning and neural symbolic reasoning.,10.1038/s41598-025-24350-8 [pii],N/A,41254019,https://pubmed.ncbi.nlm.nih.gov/41254019/
PubMed,Artificial intelligence in blood donor management: A narrative review.,10.1111/vox.70141,N/A,41153019,https://pubmed.ncbi.nlm.nih.gov/41153019/
PubMed,Current Trends and Future Opportunities of AI-Based Analysis in Mesenchymal Stem Cell Imaging: A Scoping Review.,jimaging11100371 [pii],N/A,41150047,https://pubmed.ncbi.nlm.nih.gov/41150047/
PubMed,"AI in Dentistry: Innovations, Ethical Considerations, and Integration Barriers.",bioengineering12090928 [pii],N/A,41007172,https://pubmed.ncbi.nlm.nih.gov/41007172/
PubMed,Artificial intelligence in headache medicine: between automation and the doctor-patient relationship. A systematic review.,10.1186/s10194-025-02143-8 [pii],N/A,40898015,https://pubmed.ncbi.nlm.nih.gov/40898015/
PubMed,Artificial Intelligence Applications in Healthcare: A Systematic Review of Their Impact on Nursing Practice and Patient Outcomes.,10.1111/jnu.70040,N/A,40836587,https://pubmed.ncbi.nlm.nih.gov/40836587/
PubMed,Artificial Intelligence and Machine Learning to Improve Evidence Synthesis Production Efficiency: An Observational Study of Resource Use and Time-to-Completion.,CESM70030 [pii],N/A,40656445,https://pubmed.ncbi.nlm.nih.gov/40656445/
PubMed,Leadership in radiology in the era of technological advancements and artificial intelligence.,10.1007/s00330-025-11745-4 [pii],N/A,40579558,https://pubmed.ncbi.nlm.nih.gov/40579558/
PubMed,Exploring Opportunities and Challenges of AI in Primary Healthcare: A Qualitative Study with Family Doctors in Lithuania.,healthcare13121429 [pii],N/A,40565456,https://pubmed.ncbi.nlm.nih.gov/40565456/
PubMed,Navigating artificial intelligence in home healthcare: challenges and opportunities in nursing wound care.,10.1186/s12912-025-03348-7 [pii],N/A,40537760,https://pubmed.ncbi.nlm.nih.gov/40537760/
PubMed,Artificial Intelligence in Value-Based Health Care.,10.1177_15563316251340074 [pii],N/A,40454290,https://pubmed.ncbi.nlm.nih.gov/40454290/
PubMed,"Artificial Intelligence in Dermatology: A Comprehensive Review of Approved Applications, Clinical Implementation, and Future Directions.",10.1111/ijd.17847,N/A,40387622,https://pubmed.ncbi.nlm.nih.gov/40387622/
PubMed,Generative Artificial Intelligence and Musculoskeletal Health Care.,10.1177_15563316251335334 [pii],N/A,40297632,https://pubmed.ncbi.nlm.nih.gov/40297632/
PubMed,Artificial intelligence in nursing: an integrative review of clinical and operational impacts.,10.3389/fdgth.2025.1552372,N/A,40124108,https://pubmed.ncbi.nlm.nih.gov/40124108/
PubMed,Generative Artificial Intelligence in Academic Surgery: Ethical Implications and Transformative Potential.,S0022-4804(25)00021-6 [pii],N/A,39934059,https://pubmed.ncbi.nlm.nih.gov/39934059/
PubMed,Artificial Intelligence in Dentistry: A Descriptive Review.,bioengineering11121267 [pii],N/A,39768085,https://pubmed.ncbi.nlm.nih.gov/39768085/
PubMed,[The use of artificial intelligence in modern dentistry in the Russian Federation].,10.17116/stomat202410305142,N/A,39436248,https://pubmed.ncbi.nlm.nih.gov/39436248/
PubMed,Increasing Trends of Artificial Intelligence With Robotic Process Automation in Health Care: A Narrative Review.,10.7759/cureus.69680,N/A,39429258,https://pubmed.ncbi.nlm.nih.gov/39429258/
PubMed,"Applications of ChatGPT in the diagnosis, management, education, and research of retinal diseases: a scoping review.",10.1186/s40942-024-00595-9 [pii],N/A,39420407,https://pubmed.ncbi.nlm.nih.gov/39420407/
PubMed,The Medicine Revolution Through Artificial Intelligence: Ethical Challenges of Machine Learning Algorithms in Decision-Making.,10.7759/cureus.69405,N/A,39411643,https://pubmed.ncbi.nlm.nih.gov/39411643/
PubMed,Transforming Prosthodontics and oral implantology using robotics and artificial intelligence.,10.3389/froh.2024.1442100,N/A,39135907,https://pubmed.ncbi.nlm.nih.gov/39135907/
PubMed,"A systematic review of collaborative robots for nurses: where are we now, and where is the evidence?",1398140 [pii],N/A,38899066,https://pubmed.ncbi.nlm.nih.gov/38899066/
PubMed,The Role of Large Language Models in Transforming Emergency Medicine: Scoping Review.,v12i1e53787 [pii],N/A,38728687,https://pubmed.ncbi.nlm.nih.gov/38728687/
PubMed,Can GPT-4 revolutionize otolaryngology? Navigating opportunities and ethical considerations.,S0196-0709(24)00089-9 [pii],N/A,38678799,https://pubmed.ncbi.nlm.nih.gov/38678799/
PubMed,Role of Artificial Intelligence in Global Surgery: A Review of Opportunities and Challenges.,10.7759/cureus.43192,N/A,37692604,https://pubmed.ncbi.nlm.nih.gov/37692604/
PubMed,Current and potential applications of artificial intelligence in medical imaging practice: A narrative review.,S1939-8654(23)00079-6 [pii],N/A,37062603,https://pubmed.ncbi.nlm.nih.gov/37062603/
PubMed,Artificial Intelligence and Machine Learning Based Intervention in Medical Infrastructure: A Review and Future Trends.,healthcare11020207 [pii],N/A,36673575,https://pubmed.ncbi.nlm.nih.gov/36673575/
PubMed,Machine learning in general practice: scoping review of administrative task support and automation.,10.1186/s12875-023-01969-y [pii],N/A,36641467,https://pubmed.ncbi.nlm.nih.gov/36641467/
PubMed,A survey of AI ethics in business literature: Maps and trends between 2000 and 2021.,10.3389/fpsyg.2022.1042661,N/A,36600712,https://pubmed.ncbi.nlm.nih.gov/36600712/
PubMed,Deploying digitalisation and artificial intelligence in sustainable development research.,2252 [pii],N/A,35313685,https://pubmed.ncbi.nlm.nih.gov/35313685/
PubMed,Artificial intelligence and diabetes technology: A review.,S0026-0495(21)00172-4 [pii],N/A,34480920,https://pubmed.ncbi.nlm.nih.gov/34480920/
PubMed,Artificial intelligence and cardiac surgery during COVID-19 era.,JOCS15417 [pii],N/A,33567126,https://pubmed.ncbi.nlm.nih.gov/33567126/
PubMed,Time-saving impact of an algorithm to identify potential surgical site infections.,S0195941700033981 [pii],N/A,24018927,https://pubmed.ncbi.nlm.nih.gov/24018927/
Scopus,Decoding AI innovation: How R&D alliances drive technological breakthrough,10.1016/j.techsoc.2025.103165,1,2-s2.0-105022847962,https://www.scopus.com/record/display.uri?eid=2-s2.0-105022847962&origin=resultslist
